product_ref,product_code,product_name,current_product_class,decision_bucket,approved_product_class,decision_note,counting_rule,observed_clients,observed_sales,observed_subscription_rows,min_duration_days,max_duration_days,review_reason,recommended_action
AA9EA4BF01266AD311E8D82589232D73,00000000093,Пакет 8,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,959,2409,2409,-6773,6996,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AE39000C29D830FD11EE6F542E78B80A,00000001218,АКВА 26 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,75,78,78,2,184,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
ACE7A4BF01266AD411ED7ABA1F8B9722,00000000895,АКВА 38 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,69,69,69,26,275,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AAB5A4BF01266AD311E990DC16190F1E,00000000180,АКВА 40 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,601,1016,1016,1,7606,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AC3EA4BF01266AD411EC56A05231DDA0,00000000648,СУБАРЕНДА 10 посещений,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed SUBARENDA should not be counted as subscription in any case.,always,6,11,11,28,31,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
ABFFA4BF01266AD411EC1AB45199F07D,00000000409,СУБАРЕНДА безлимит,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed SUBARENDA should not be counted as subscription in any case.,always,56,792,792,1,8138,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AFB8000C29D830FD11EF8D377302B83E,00000001466,"Спец. цена Полина 9 900,00",unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,5,5,5,273,273,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AB34A4BF01266AD411EB816DD2AE44CE,00000000362,АКВА 35 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,41,41,41,111,307,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
ADD1000C29D830FD11EE20895D03FE2D,00000001144,АКВА 48 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,37,37,37,188,348,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
ABFFA4BF01266AD411EC1AB433F8DB37,00000000408,СУБАРЕНДА 15 посещений,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed SUBARENDA should not be counted as subscription in any case.,always,37,474,474,5,63,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
