client_ref,selected_subscription_ref,selected_for_funnel,selected_subscription_name,selected_sale_date,selected_start_date,selected_end_date,selected_duration_days,days_to_end,days_since_end,selected_raw_club,selected_normalized_club,selected_club_source,selection_reason,manual_override_applied,candidate_count
AA9BA4BF01266AD311E8AACD35933E12,AAABA4BF01266AD311E938F5D44026C7,reactivation,Абонемент УЛЬТРА 12 месяцев,2018-01-01,2018-01-01,2019-06-23,539,-2528,2528,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,1
AA9BA4BF01266AD311E8AACD35933E1A,B548559089FAFBA940EACA7E036204C6,reactivation,Абонемент МУЛЬТИКАРТА 12 месяцев,2025-03-14,2025-03-14,2025-09-01,172,-266,266,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,4
AA9BA4BF01266AD311E8AACD35933E1C,B1C621BACF2D0B7044855CA05A2D622A,active,Абонемент Ультра 15 месяцев (подарок),2025-05-31,2025-05-31,2026-08-30,457,97,-97,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,1
AA9BA4BF01266AD311E8AACD35933E1C,B068000C29D830FD11F01449F23CA433,reactivation,Абонемент УЛЬТРА 1 МЕСЯЦ БЕСПЛАТНО,2025-04-01,2025-04-01,2025-04-30,30,-390,390,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,3
AA9BA4BF01266AD311E8AACD35933E1E,A2D40BAC030AF14A4EB47871A392F453,active,Абонемент УЛЬТРА 24 месяца,2024-08-27,2024-11-10,2026-11-09,730,168,-168,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,1
AA9BA4BF01266AD311E8AACD35933E1E,B2E622D123FBD8A2402478F01FED755F,reactivation,Абонемент МУЛЬТИКАРТА 12 месяцев,2023-11-10,2023-11-10,2024-11-09,366,-562,562,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,4
AA9BA4BF01266AD311E8AACD35933E20,AAABA4BF01266AD311E938F5D44026CD,reactivation,Абонемент УЛЬТРА 12 месяцев,2018-01-01,2018-01-01,2019-02-24,420,-2647,2647,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,1
AA9BA4BF01266AD311E8AACD35933E24,AAABA4BF01266AD311E938F8BF104DB4,reactivation,Абонемент УЛЬТРА 12 месяцев,2018-01-01,2018-01-01,2020-01-02,732,-2335,2335,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,2
AA9BA4BF01266AD311E8AACD35933E26,8C2BBB173924216E469B81298B2A7188,reactivation,Абонемент УЛЬТРА 12 месяцев,2019-06-27,2019-06-27,2020-09-22,454,-2071,2071,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,2
AA9BA4BF01266AD311E8AACD35933E28,AB667DF98AB65AE54D57598315E8AB21,reactivation,Абонемент МУЛЬТИКАРТА 12 месяцев,2021-03-07,2021-03-07,2022-03-06,365,-1541,1541,Фитнес Империя (Гоголевский),"Коммунальная, 20",dbo._Document163._Fld1443RRef -> dbo._Reference105,top-ranked candidate,0,2
