client_ref,client_id,subscription_ref,candidate_for_funnel,rank_number,auto_rank_reason,manual_override_applied,selection_status,selection_reason,candidate_count
AA9BA4BF01266AD311E8AACD35933E12,000000014,AAABA4BF01266AD311E938F5D44026C7,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACD35933E1A,000000022,B548559089FAFBA940EACA7E036204C6,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,4
AA9BA4BF01266AD311E8AACD35933E1A,000000022,95BE9813BF57845D40F6389B4A553567,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACD35933E1A,000000022,A90461FB275C44F94A51FFE26815BA3E,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACD35933E1A,000000022,B865D6610B5B677246A45ECDC638CD55,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACD35933E1C,000000024,B1C621BACF2D0B7044855CA05A2D622A,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACD35933E1C,000000024,B068000C29D830FD11F01449F23CA433,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,3
AA9BA4BF01266AD311E8AACD35933E1C,000000024,AAABA4BF01266AD311E938F5D44026CA,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACD35933E1C,000000024,AAABA4BF01266AD311E938F5D44026CB,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACD35933E1E,000000026,A2D40BAC030AF14A4EB47871A392F453,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACD35933E1E,000000026,B2E622D123FBD8A2402478F01FED755F,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,4
AA9BA4BF01266AD311E8AACD35933E1E,000000026,93F944C0DA8962FA4824AC96C2949883,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACD35933E1E,000000026,AADDA4BF01266AD411EAAB1DE6687DFC,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACD35933E1E,000000026,AAABA4BF01266AD311E938F5D44026CC,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACD35933E20,000000028,AAABA4BF01266AD311E938F5D44026CD,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACD35933E24,000000032,AAABA4BF01266AD311E938F8BF104DB4,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACD35933E24,000000032,AAABA4BF01266AD311E938F8BF104DB5,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACD35933E26,000000034,8C2BBB173924216E469B81298B2A7188,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACD35933E26,000000034,AAABA4BF01266AD311E938F8BF104DB6,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACD35933E28,000000036,AB667DF98AB65AE54D57598315E8AB21,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACD35933E28,000000036,AAABA4BF01266AD311E938F8BF104DB8,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACD35933E29,000000037,86F83620B29C0F8D44D198CDB20FE5A1,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
