service_order,service_name,total_sale_rows,final_client_sale_rows,active_final_client_rows,selected_rows,selected_kind,selected_outside_import_zayavki,latest_sale_datetime
1,Step-1 разовое посещение без клубной карты,6,6,0,5,historical_fallback,0,2026-01-19 20:07:29
2,Йога (персональная тренировка) 12 пос. (группа до 4 человек),0,0,0,0,template_only_no_final_client_rows,0,
3,Йога (персональная тренировка) 12 пос. VIP (1 человек),0,0,0,0,template_only_no_final_client_rows,0,
4,Йога (персональная тренировка) 8 пос. (группа до 4 человек),0,0,0,0,template_only_no_final_client_rows,0,
5,Йога (персональная тренировка) 8 пос. VIP (1 человек),0,0,0,0,template_only_no_final_client_rows,0,
6,Йога в гамаках(при наличии клубной карты),920,895,0,5,historical_fallback,0,2026-04-12 16:43:15
7,Сайкл для начинающих без клубной карты,0,0,0,0,template_only_no_final_client_rows,0,
8,Сайкл для начинающих при наличии клубной карты,36,36,0,5,historical_fallback,0,2025-06-21 10:31:25
9,Сайкл разовое без клубной карты,5,5,0,5,historical_fallback,0,2026-04-16 13:38:36
10,Сайкл разовое при наличии клубной карты,5861,5745,0,5,historical_fallback,0,2026-04-24 00:00:00
11,Стрип-пластика,21,21,0,5,historical_fallback,0,2026-01-24 13:10:35
12,Восстановление пластиковой карты,2063,2044,0,5,historical_fallback,0,2026-05-23 18:17:46
13,Доплата,2751,2686,0,5,historical_fallback,0,2026-04-17 12:28:40
14,Доплата до года,364,361,0,5,historical_fallback,0,2026-04-17 10:32:36
15,Заморозка абонемента 1 месяц,178,178,0,5,historical_fallback,0,2026-05-22 18:49:54
16,Заморозка абонемента 14 дней,66,65,0,5,historical_fallback,0,2026-05-08 18:51:06
17,Заморозка абонемента 90 дней,770,763,0,5,historical_fallback,0,2026-05-21 15:31:51
18,Перевод из клуба в клуб,356,354,0,5,historical_fallback,0,2026-05-17 13:08:21
19,Переоформление платное абонемента на фитнес,588,548,0,5,historical_fallback,0,2026-05-19 19:30:04
20,Пакет 10 (персональные тренировки),1,1,0,1,historical_fallback,0,2021-09-10 09:45:02
21,Пакет 10 ВИП (персональные тренировки),0,0,0,0,template_only_no_final_client_rows,0,
22,Пакет 12 (персональные тренировки),8775,8670,270,270,active,0,2026-05-22 18:06:33
23,Пакет 12 ВИП (персональные тренировки),55,53,1,1,active,0,2022-06-14 13:14:02
24,Пакет 4 (персональные тренировки),0,0,0,0,template_only_no_final_client_rows,0,
25,Пакет 8,2403,2369,80,80,active,0,2026-05-04 16:01:02
26,Пакет 8 ВИП,34,34,0,5,historical_fallback,0,2026-02-10 18:23:46
27,Пробная П/Т,125,124,0,5,historical_fallback,0,2019-11-13 11:05:31
28,Разовая,3716,3635,0,5,historical_fallback,0,2026-03-13 16:37:31
29,Разовая ВИП,8,6,0,5,historical_fallback,0,2025-09-03 11:14:45
30,Субаренда 1 посещение,37,37,0,5,historical_fallback,0,2026-02-14 09:47:22
31,Подарочный сертификат на сумму 1000,18,15,0,5,historical_fallback,0,2024-11-11 12:49:54
32,Подарочный сертификат на сумму 1500,17,15,0,5,historical_fallback,0,2023-07-20 18:31:29
33,Подарочный сертификат на сумму 2000,31,30,0,5,historical_fallback,0,2025-12-27 14:20:53
34,Подарочный сертификат на сумму 3000,27,24,0,5,historical_fallback,0,2025-12-16 18:18:31
35,Подарочный сертификат на сумму 5000,25,23,0,5,historical_fallback,0,2025-10-30 20:15:06
36,Разовое посещение,6848,6667,0,5,historical_fallback,0,2026-05-22 20:02:08
37,Медленный класс (10 посещений) двойное предложение,6,3,1,1,active,0,2025-12-29 14:46:40
38,Пакет 6,1,1,0,1,historical_fallback,0,2025-05-12 18:50:58
39,Солярий 1 минута,11050,10868,0,5,historical_fallback,0,2026-05-20 12:11:21
40,Утеря номерка от гардероба,131,130,0,5,historical_fallback,0,2026-04-21 19:25:41
41,Аренда рекламного места,27,27,0,5,historical_fallback,0,2026-04-14 10:18:22
42,Солярий 5 минут,2002,1967,0,5,historical_fallback,0,2026-05-23 18:08:31
43,Утеря магнитного ключа-метки,19,18,0,5,historical_fallback,0,2026-04-25 18:55:31
44,Медленный класс (персональные тренировки),30,21,0,5,historical_fallback,0,2026-05-23 11:46:24
45,Утеря ключа от шкафчика,26,26,0,5,historical_fallback,0,2026-04-25 18:55:31
46,Step-1 разовое посещение при наличии клубной карты,798,775,0,5,historical_fallback,0,2026-05-23 11:59:59
47,Йога (персональная тренировка) VIP,2,2,0,2,historical_fallback,0,2025-10-01 21:06:47
48,Утеря манжеты,1,1,0,1,historical_fallback,0,2022-12-21 21:36:30
49,Утеря валика,1,0,0,1,historical_fallback_outside_import_zayavki,1,2020-01-14 23:15:08
50,Персональная тренировка VIP,21,21,0,5,historical_fallback,0,2025-10-16 13:19:09
51,Аренда рекламного места А2,1,1,0,1,historical_fallback,0,2024-04-05 12:02:11
