product_class,contract_name,rows_count
full_subscription,Абонемент УЛЬТРА 12 месяцев,15331
trial_or_guest,Абонемент НЕДЕЛЯ ДРУГ,4401
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев,3865
trial_or_guest,Абонемент НЕДЕЛЯ САЙТ,3244
full_subscription,Абонемент УЛЬТРА 12+2 месяца в подарок,439
trial_or_guest,Абонемент НЕДЕЛЯ ФИТНЕСА БЕСПЛАТНО,386
trial_or_guest,Абонемент Неделя Фитнес,316
trial_or_guest,Абонемент Неделя сайт 2023,249
full_subscription,Абонемент УЛЬТРА 1 МЕСЯЦ БЕСПЛАТНО,187
trial_or_guest,Абонемент 10 ДНЕЙ,121
trial_or_guest,Абонемент НЕДЕЛЯ ХОЛОДНЫЕ,116
full_subscription,Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,80
trial_or_guest,Абонемент НЕДЕЛЯ КАРЕЛЬСКИЙ,68
trial_or_guest,Абонемент Неделя марафон,65
full_subscription,Абонемент УЛЬТРА 9 месяцев,51
full_subscription,Мультикарта на 6 месяцев,38
full_subscription,Абонемент МУЛЬТИ 24 месяцев,37
full_subscription,Абонемент УЛЬТРА 3 месяца,23
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),22
full_subscription,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,21
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),19
unknown_review_required,СУБАРЕНДА безлимит,18
full_subscription,Абонемент Ультра 15 месяцев (подарок),14
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,13
full_subscription,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,13
full_subscription,Абонемент УЛЬТРА 24 месяца,12
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев ДВОЙНОЕ / СЕМЕЙНЫЙ,12
full_subscription,УЛЬТРА 12 месяцев + подарок,11
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев+2 лета в подарок,11
full_subscription,Мультикарта на 3 месяца,10
full_subscription,Абонемент УЛЬТРА 1 МЕСЯЦ 8 посещений,10
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,10
full_subscription,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),9
full_subscription,Абонемент УЛЬТРА 6 месяцев СПЕЦПРЕДЛОЖЕНИЕ,8
full_subscription,Абонемент УЛЬТРА 12 месяцев ДВОЙНОЕ / СЕМЕЙНЫЙ,7
full_subscription,Абонемент МУЛЬТИКАРТА 15 месяцев,7
full_subscription,Абонемент УЛЬТРА 12 + 2 лета в подарок,7
full_subscription,Абонемент МУЛЬТИКАРТА 15 месяцев (подарок) спецпредложение,7
full_subscription,Абонемент УЛЬТРА 1 МЕСЯЦ 12 посещений,7
full_subscription,УЛЬТРА 9 месяцев + 3 месяца в подарок,7
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,6
full_subscription,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),6
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,5
full_subscription,"Абонемент УЛЬТРА 12 месяцев (Ровио,3)",4
full_subscription,Мультикарта на 1 месяц,4
full_subscription,Абонемент в солярий на 50 минут,4
full_subscription,Абонемент УЛЬТРА 6+6 месяцев,4
full_subscription,Членство детская йога,2
full_subscription,"Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ(Промышленная,10)",2
full_subscription,Мультикарта на 9 месяцев,2
full_subscription,АБОНЕМЕНТ САЙКЛ 12 пос при наличии клубной карты,2
unknown_review_required,СУБАРЕНДА 15 посещений,2
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),2
full_subscription,Абонемент УЛЬТРА 12+6 месяцев,2
full_subscription,Абонемент в солярий на 80 минут,2
full_subscription,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ+подарок,2
full_subscription,Абонемент МУЛЬТИ 6+6 месяцев,2
full_subscription,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок (СПЕЦПРЕДЛОЖЕНИЕ),2
full_subscription,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,2
full_subscription,"Холодные 9 900,00 УЛЬТРА 12 месяцев",2
full_subscription,Абонемент УЛЬТРА 15 месяцев,1
full_subscription,Абонемент в солярий на 100+50 минут,1
unknown_review_required,СУБАРЕНДА 10 посещений,1
full_subscription,МУЛЬТИКАРТА 6 месяцев + 3 месяца в подарок,1
full_subscription,Абонемент в солярий на 100 минут,1
trial_or_guest,Абонемент 2 недели Фитнес,1
full_subscription,Абонемент УЛЬТРА 9 месяцев СПЕЦПРЕДЛОЖЕНИЕ,1
full_subscription,"Абонемент УЛЬТРА 1 МЕСЯЦ 990,00",1
full_subscription,МУЛЬТИКАРТА 9 месяцев + 3 месяца в подарок,1
full_subscription,Студенческий дневной абонемент 9 месяцев,1
full_subscription,Абонемент УЛЬТРА 9 месяцев (6 месяцев в подарок),1
full_subscription,"Студенческий абонемент 4 месяца 6 900,00",1
full_subscription,Мультикарта 9 месяцев (6 месяцев в подарок),1
full_subscription,Абонемент УЛЬТРА 9 месяцев+3 месяца в подарок (Ровио),1
full_subscription,Абонемент МУЛЬТИКАРТА 15 месяцев (подарок),1
