service_order,service_name,total_sale_rows,final_client_sale_rows,active_final_client_rows,selected_rows,selected_kind,selected_outside_import_zayavki,latest_sale_datetime
1,Step-1 разовое посещение без клубной карты,6,6,0,5,historical_fallback,0,2026-01-19 20:07:29
2,Йога (персональная тренировка) 12 пос. (группа до 4 человек),0,0,0,0,template_only_no_final_client_rows,0,
3,Йога (персональная тренировка) 12 пос. VIP (1 человек),0,0,0,0,template_only_no_final_client_rows,0,
4,Йога (персональная тренировка) 8 пос. (группа до 4 человек),0,0,0,0,template_only_no_final_client_rows,0,
5,Йога (персональная тренировка) 8 пос. VIP (1 человек),0,0,0,0,template_only_no_final_client_rows,0,
6,Йога в гамаках(при наличии клубной карты),920,869,0,5,historical_fallback,0,2026-04-12 16:43:15
7,Сайкл для начинающих без клубной карты,0,0,0,0,template_only_no_final_client_rows,0,
8,Сайкл для начинающих при наличии клубной карты,36,36,0,5,historical_fallback,0,2025-06-21 10:31:25
9,Сайкл разовое без клубной карты,5,2,0,2,historical_fallback,0,2026-06-06 13:15:16
10,Сайкл разовое при наличии клубной карты,5926,5772,0,5,historical_fallback,0,2026-06-30 20:02:40
11,Стрип-пластика,21,19,0,5,historical_fallback,0,2026-01-24 13:10:35
12,Восстановление пластиковой карты,2099,2074,0,5,historical_fallback,0,2026-06-30 08:47:03
13,Доплата,2752,2598,0,5,historical_fallback,0,2026-06-23 17:04:01
14,Доплата до года,364,361,0,5,historical_fallback,0,2026-04-17 10:32:36
15,Заморозка абонемента 1 месяц,182,179,0,5,historical_fallback,0,2026-06-25 18:51:18
16,Заморозка абонемента 14 дней,68,66,0,5,historical_fallback,0,2026-06-17 18:37:43
17,Заморозка абонемента 90 дней,778,767,0,5,historical_fallback,0,2026-06-21 16:36:01
18,Перевод из клуба в клуб,356,355,0,5,historical_fallback,0,2026-05-17 13:08:21
19,Переоформление платное абонемента на фитнес,589,361,0,5,historical_fallback,0,2026-06-30 19:24:15
20,Пакет 10 (персональные тренировки),1,1,0,1,historical_fallback,0,2021-09-10 09:45:02
21,Пакет 10 ВИП (персональные тренировки),0,0,0,0,template_only_no_final_client_rows,0,
22,Пакет 12 (персональные тренировки),8797,8697,272,272,active,0,2026-06-28 11:47:37
23,Пакет 12 ВИП (персональные тренировки),55,53,1,1,active,0,2022-06-14 13:14:02
24,Пакет 4 (персональные тренировки),0,0,0,0,template_only_no_final_client_rows,0,
25,Пакет 8,2403,2366,78,78,active,0,2026-05-04 16:01:02
26,Пакет 8 ВИП,34,34,0,5,historical_fallback,0,2026-02-10 18:23:46
27,Пробная П/Т,125,119,0,5,historical_fallback,0,2019-11-13 11:05:31
28,Разовая,3716,3552,0,5,historical_fallback,0,2026-03-13 16:37:31
29,Разовая ВИП,8,6,0,5,historical_fallback,0,2025-09-03 11:14:45
30,Субаренда 1 посещение,38,1,0,1,historical_fallback,0,2026-06-12 15:13:04
31,Подарочный сертификат на сумму 1000,18,14,0,5,historical_fallback,0,2024-11-11 12:49:54
32,Подарочный сертификат на сумму 1500,17,11,0,5,historical_fallback,0,2023-07-20 18:31:29
33,Подарочный сертификат на сумму 2000,31,26,0,5,historical_fallback,0,2025-12-27 14:20:53
34,Подарочный сертификат на сумму 3000,27,21,0,5,historical_fallback,0,2025-12-16 18:18:31
35,Подарочный сертификат на сумму 5000,24,17,0,5,historical_fallback,0,2025-06-05 18:53:06
36,Разовое посещение,7017,3830,0,5,historical_fallback,0,2026-06-30 17:01:09
37,Медленный класс (10 посещений) двойное предложение,6,3,1,1,active,0,2025-12-29 14:46:40
38,Пакет 6,1,1,0,1,historical_fallback,0,2025-05-12 18:50:58
39,Солярий 1 минута,11051,10712,0,5,historical_fallback,0,2026-06-13 10:48:22
40,Утеря номерка от гардероба,131,129,0,5,historical_fallback,0,2026-04-21 19:25:41
41,Аренда рекламного места,27,16,0,5,historical_fallback,0,2026-04-14 10:18:22
42,Солярий 5 минут,2131,2079,0,5,historical_fallback,0,2026-06-30 21:01:26
43,Утеря магнитного ключа-метки,18,17,0,5,historical_fallback,0,2026-04-03 18:00:43
44,Медленный класс (персональные тренировки),46,27,0,5,historical_fallback,0,2026-06-27 11:43:00
45,Утеря ключа от шкафчика,25,25,0,5,historical_fallback,0,2026-04-03 18:00:43
46,Step-1 разовое посещение при наличии клубной карты,835,811,0,5,historical_fallback,0,2026-06-27 13:11:50
47,Йога (персональная тренировка) VIP,2,2,0,2,historical_fallback,0,2025-10-01 21:06:47
48,Утеря манжеты,1,1,0,1,historical_fallback,0,2022-12-21 21:36:30
49,Утеря валика,1,0,0,1,historical_fallback_outside_import_zayavki,1,2020-01-14 23:15:08
50,Персональная тренировка VIP,21,21,0,5,historical_fallback,0,2025-10-16 13:19:09
51,Аренда рекламного места А2,1,1,0,1,historical_fallback,0,2024-04-05 12:02:11
