product_ref,product_code,product_name,product_class,is_full_subscription,is_trial_or_guest,observed_clients,observed_sales,observed_subscription_rows,min_duration_days,max_duration_days,classification_reason
B086000C29D830FD11F02BCC8AA8ED67,00000001606,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок) Ровио,full_subscription,1,0,8,8,8,273,366,full keyword + duration >= 30 + no trial/exclude keyword
B07D000C29D830FD11F024EBAFD0BD0A,00000001597,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,full_subscription,1,0,73,73,73,48,547,full keyword + duration >= 30 + no trial/exclude keyword
B0E5000C29D830FD11F06EC78AD2D6CB,00000001648,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),full_subscription,1,0,608,617,617,48,608,full keyword + duration >= 30 + no trial/exclude keyword
B08A000C29D830FD11F02F0F91882165,00000001607,Мультикарта на 9 месяцев + 3 месяца заморозки в подарок,full_subscription,1,0,6,6,6,273,395,full keyword + duration >= 30 + no trial/exclude keyword
B0BE000C29D830FD11F0519A15B1F35E,00000001619,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,full_subscription,1,0,433,446,446,1,8996,full keyword + duration >= 30 + no trial/exclude keyword
B07F000C29D830FD11F026949FF4A862,00000001603,Абонемент УЛЬТРА 15 месяцев + 3 месяца заморозки в подарок(Ровио),full_subscription,1,0,3,3,3,473,505,full keyword + duration >= 30 + no trial/exclude keyword
B086000C29D830FD11F02BCC649B1DE5,00000001605,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок),full_subscription,1,0,29,29,29,18,365,full keyword + duration >= 30 + no trial/exclude keyword
B0E5000C29D830FD11F06EA754E9EEA1,00000001647,УЛЬТРА 12 месяцев + 2 месяца заморозки в подарок (Ровио),full_subscription,1,0,20,20,20,365,456,full keyword + duration >= 30 + no trial/exclude keyword
B07D000C29D830FD11F024EC5F69C3D5,00000001598,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок (Ровио),full_subscription,1,0,17,17,17,164,455,full keyword + duration >= 30 + no trial/exclude keyword
B07D000C29D830FD11F024ECA950807E,00000001599,Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),full_subscription,1,0,140,144,144,88,487,full keyword + duration >= 30 + no trial/exclude keyword
B0D9000C29D830FD11F066CA213D0981,00000001642,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,full_subscription,1,0,1075,1091,1091,1,9034,full keyword + duration >= 30 + no trial/exclude keyword
B07F000C29D830FD11F0264A4786DE5E,00000001602,Абонемент УЛЬТРА 15 месяцев (подарок),full_subscription,1,0,95,96,96,2,8943,full keyword + duration >= 30 + no trial/exclude keyword
B07F000C29D830FD11F026491FFD750E,00000001601,Абонемент Ультра 15 месяцев (подарок),full_subscription,1,0,911,929,929,1,9026,full keyword + duration >= 30 + no trial/exclude keyword
AEAA000C29D830FD11EEC4E4326F1D21,00000001294,"Абонемент УЛЬТРА 1 МЕСЯЦ 990,00",full_subscription,1,0,818,844,844,1,364,full keyword + duration >= 30 + no trial/exclude keyword
AFDF000C29D830FD11EFABF387F9A251,00000001493,"Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (Промышленная,10)",full_subscription,1,0,8,8,8,172,396,full keyword + duration >= 30 + no trial/exclude keyword
B21C000C29D830FD11F156769717F181,00000001743,УЛЬТРА 12 месяцев (рассрочка),full_subscription,1,0,8,8,8,365,365,full keyword + duration >= 30 + no trial/exclude keyword
AAACA4BF01266AD311E939A6E7B818CF,00000000135,Абонемент УЛЬТРА 3 месяца,full_subscription,1,0,771,834,834,2,570,full keyword + duration >= 30 + no trial/exclude keyword
AAACA4BF01266AD311E94A15A0C70726,00000000139,Абонемент в солярий на 100+50 минут,full_subscription,1,0,77,92,92,1,182,full keyword + duration >= 30 + no trial/exclude keyword
AFC5000C29D830FD11EF975CDE34AF39,00000001474,Студенческий дневной абонемент 9 месяцев,full_subscription,1,0,7,7,7,4,363,full keyword + duration >= 30 + no trial/exclude keyword
AC82A4BF01266AD411ECF6D9EFBC2966,00000000794,Абонемент МУЛЬТИ 24 месяцев,full_subscription,1,0,665,667,667,3,976,full keyword + duration >= 30 + no trial/exclude keyword
