document_number,client_id,subscription_ref,sale_datetime,start_date,end_date,is_active_on_cutoff,is_finished_before_cutoff,sql_funnel
00000124840,000030922,990448271034841E4DDCEC25E0BC62C9,2024-07-23 11:29:59,2024-09-21,2026-09-20,0,1,Реактивация
00000130072,000042211,9433B2481BA1CF9B475CB552E520F2D0,2024-12-28 14:48:47,2025-06-21,2026-09-20,0,1,Действующие клиенты
00000130625,000005344,BD8A17E92EE3F8A04CA04F639A52A8AA,2025-01-13 13:58:42,2025-06-23,2026-09-20,0,1,Реактивация
00000133104,000029409,87B062F9EBC887BE4C8972E20AB61F28,2025-03-19 11:04:33,2025-03-21,2026-09-20,0,1,Действующие клиенты
00000134632,000058225,8CC796B176DBC05B42AF3940631427A3,2025-04-26 10:38:36,2025-06-20,2026-09-20,0,1,Реактивация
00000135432,000051327,95284448AEE2553A4DE6F043AA1348FF,2025-05-23 17:05:04,2025-06-21,2026-09-20,0,1,Реактивация
00000135443,000049405,948D6F8B02994F4F465B41F5C1A81DD5,2025-05-23 21:34:57,2025-06-21,2026-09-20,0,1,Реактивация
00000135467,000020533,AF2384165836E02F4CEABF0FF1C8EAF4,2025-05-26 10:53:04,2025-06-21,2026-09-20,0,1,Действующие клиенты
00000124855,000021722,88F51A5D154B35F0479EB2BAF51B080C,2024-07-24 00:00:00,2024-07-24,2026-09-21,1,0,Действующие клиенты
00000125855,000025218,8B22D49AD061AEBD4F7321C620673290,2024-08-31 00:00:00,2024-08-31,2026-09-21,1,0,Действующие клиенты
00000130057,000027784,BDF6FE231D072AE140142AFC7C0125C4,2024-12-28 00:00:00,2025-06-24,2026-09-21,1,0,Действующие клиенты
00000130960,000067047,A081AC71C63E1DF74AF283ACD5D3A6E7,2025-01-22 00:00:00,2025-01-22,2026-09-21,1,0,Действующие клиенты
00000133207,000022054,A8F35F1E1961B3D74E3508CA1CE21AAD,2025-03-21 13:13:52,2025-03-22,2026-09-21,1,0,Действующие клиенты
00000133227,000010956,AC11597968CB85D948DCFDA802E3504D,2025-03-21 16:49:01,2025-03-22,2026-09-21,1,0,Действующие клиенты
00000133403,000050457,9753E0A1BB721E5D4B1B646F01FCFB5B,2025-03-26 00:00:00,2025-03-26,2026-09-21,1,0,Действующие клиенты
00000133415,000057748,B22579613E7580604B251252AD0AA09F,2025-03-26 00:00:00,2025-03-26,2026-09-21,1,0,Действующие клиенты
