sale_line_id,service_doc_number,linked_service_doc_ref,actual_staging_balance,expected_at_cutoff,excluded_future_balance,excluded_future_rows,latest_register_movement
00000000001-1,,,0,0,0,0,
00000000001-1,00000078336,B97341D56A8070364C3A60B6CDFE5504,0,0,0,0,2021-01-27 16:15:00
00000000001-1,,,0,0,0,0,
00000000002-1,00000063825,BFB3B59BAFFF99B04CA96F7F308DE84F,0,0,0,0,2020-01-29 13:15:00
00000000002-1,,,0,0,0,0,
00000000004-1,,,0,0,0,0,
00000000005-1,,,0,0,0,0,
00000000005-1,,,0,0,0,0,
00000000005-1,,,0,0,0,0,
00000000007-1,,,0,0,0,0,
00000000008-1,,,0,0,0,0,
00000000009-1,,,0,0,0,0,
00000000009-1,,,0,0,0,0,
00000000010-1,00000063827,BE94B927DC4BA6314DE705C183D17664,0,0,0,0,2020-02-28 15:00:00
00000000010-1,00000106086,B7D3C09DF6553D1F45DA894AD234582A,0,0,0,0,2023-03-03 00:00:00
00000000010-1,,,0,0,0,0,
00000000011-1,,,0,0,0,0,
00000000011-1,,,0,0,0,0,
00000000012-1,,,0,0,0,0,
00000000012-1,,,0,0,0,0,
00000000012-1,,,0,0,0,0,
00000000014-1,,,0,0,0,0,
00000000014-1,,,0,0,0,0,
00000000015-1,,,0,0,0,0,
00000000016-1,00000063829,89FFA0580CC09A2F451EE2C20430BBDF,0,0,0,0,2020-02-03 18:00:00
00000000016-1,,,0,0,0,0,
00000000016-1,,,0,0,0,0,
00000000017-1,,,0,0,0,0,
00000000018-1,,,0,0,0,0,
00000000021-1,,,0,0,0,0,
00000000021-1,,,0,0,0,0,
00000000022-1,,,0,0,0,0,
00000000023-1,,,0,0,0,0,
00000000023-1,,,0,0,0,0,
00000000023-1,,,0,0,0,0,
00000000024-1,,,0,0,0,0,
00000000025-1,,,0,0,0,0,
00000000025-1,,,0,0,0,0,
00000000025-1,,,0,0,0,0,
00000000026-1,,,0,0,0,0,
00000000027-1,00000063833,A5E7492E3C80DBFD491BE1333A25ED82,0,0,0,0,2020-03-02 00:00:00
00000000027-1,,,0,0,0,0,
00000000027-1,,,0,0,0,0,
00000000027-1,,,0,0,0,0,
00000000028-1,,,0,0,0,0,
00000000029-1,00000078346,ABE0C519D4F910C24CDCD3BDEFB355C4,0,0,0,0,2021-03-01 16:45:00
00000000029-1,,,0,0,0,0,
00000000029-1,,,0,0,0,0,
00000000029-1,,,0,0,0,0,
00000000029-2,00000025643,AB55FD35822F181F4FC421D7E97E0469,0,0,0,0,2019-02-19 14:41:22
00000000030-1,,,0,0,0,0,
00000000031-1,00000078347,BD37566EDC2360A24E73B782D222D9DD,0,0,0,0,2021-02-01 17:45:00
00000000033-1,,,0,0,0,0,
00000000034-2,,,0,0,0,0,
00000000035-1,,,0,0,0,0,
00000000036-1,00000030253,92B4EC81837B14914E8B797B2C2305D5,0,0,0,0,2019-02-25 12:20:04
00000000036-1,,,0,0,0,0,
00000000036-1,,,0,0,0,0,
00000000036-1,,,0,0,0,0,
00000000037-1,,,0,0,0,0,
00000000038-1,00000041489,A37FABBF1CC1577448B3083932920370,0,0,0,0,2019-04-27 00:00:00
00000000038-1,,,0,0,0,0,
00000000039-1,,,0,0,0,0,
00000000039-1,,,0,0,0,0,
00000000040-1,,,0,0,0,0,
00000000040-1,,,0,0,0,0,
00000000041-1,,,0,0,0,0,
00000000042-1,,,0,0,0,0,
