client_id,active_at_finish,active_at_cutoff,last_end_date,sql_funnel
000000248,1,0,2026-09-21,Реактивация
000004527,1,0,2026-09-21,Реактивация
000005344,1,0,2026-09-20,Реактивация
000006664,1,0,2026-09-21,Реактивация
000011802,1,0,2026-09-21,Реактивация
000017272,1,0,2026-09-21,Реактивация
000018969,1,0,2026-09-21,Реактивация
000021484,1,0,2026-09-21,Реактивация
000021722,1,0,2026-09-21,Реактивация
000021794,1,0,2026-09-21,Реактивация
000022054,1,0,2026-09-21,Реактивация
000024039,1,0,2026-09-20,Реактивация
000024308,1,0,2026-09-20,Реактивация
000025218,1,0,2026-09-21,Реактивация
000025998,1,0,2026-09-20,Реактивация
000027784,1,0,2026-09-21,Реактивация
000029589,1,0,2026-09-21,Реактивация
000030922,1,0,2026-09-20,Реактивация
000032921,1,0,2026-09-20,Реактивация
000035224,1,0,2026-09-20,Реактивация
000037091,1,0,2026-09-21,Реактивация
000039999,1,0,2026-09-21,Реактивация
000042415,1,0,2026-09-21,Реактивация
000043599,1,0,2026-09-21,Реактивация
000046115,1,0,2026-09-21,Реактивация
000047849,1,0,2026-09-21,Реактивация
000049405,1,0,2026-09-20,Реактивация
000050457,1,0,2026-09-21,Реактивация
000051327,1,0,2026-09-20,Реактивация
000052864,1,0,2026-09-21,Реактивация
000057748,1,0,2026-09-21,Реактивация
000058143,1,0,2026-09-21,Реактивация
000058225,1,0,2026-09-20,Реактивация
000058470,1,0,2026-09-21,Реактивация
000059070,1,0,2026-09-21,Реактивация
000061759,1,0,2026-09-21,Реактивация
000062401,1,0,2026-09-21,Реактивация
000064198,1,0,2026-09-20,Реактивация
000064394,1,0,2026-09-21,Реактивация
000064738,1,0,2026-09-21,Реактивация
000065096,1,0,2026-09-21,Реактивация
000067047,1,0,2026-09-21,Реактивация
000067674,1,0,2026-09-21,Реактивация
000068568,1,0,2026-09-20,Реактивация
000069064,1,0,2026-09-20,Реактивация
000069136,1,0,2026-09-20,Реактивация
000069395,1,0,2026-09-20,Реактивация
000069415,1,0,2026-09-21,Реактивация
000069425,1,0,2026-09-20,Реактивация
000069463,1,0,2026-09-21,Реактивация
000069803,1,0,2026-09-21,Реактивация
000069992,1,0,2026-09-21,Реактивация
000070265,1,0,2026-09-20,Реактивация
000070270,1,0,2026-09-20,Реактивация
000070284,1,0,2026-09-21,Реактивация
000070286,1,0,2026-09-21,Реактивация
000074595,1,0,2026-09-20,Реактивация
