document_number,client_id,subscription_ref,dimension_rule,actual_staging_balance,expected_at_cutoff,actual_receipt,expected_receipt,actual_expense,expected_expense,excluded_future_balance,excluded_future_rows,latest_register_movement
00000058873,000015634,91EB44EC9BEEE097430051056B094896,cycle,0,0,0,0,0,0,0,0,
00000061486,000015634,AACBA4BF01266AD311EA0B735B92DD0F,cycle,0,0,0,0,0,0,0,0,
00000061614,000015634,BFFAD64D9E5EEEE94EA876C00AB66306,cycle,0,0,0,0,0,0,0,0,
00000062994,000015634,AACDA4BF01266AD311EA209791C3261E,cycle,0,0,0,0,0,0,0,0,
00000063210,000015634,86E3326478209A7F476E6584DC6D230B,cycle,0,0,0,0,0,0,0,0,
00000066106,000015634,89B58D6AFDA143F74C1A9809776C6778,cycle,0,0,0,0,0,0,0,0,
00000066902,000004888,BDFFC2AA8A04E80A403F5BA5A6F4CE73,cycle,0,0,0,0,0,0,0,0,
00000075137,000015634,BA7388767E8B9C294FCC5F607A4582BE,cycle,0,0,0,0,0,0,0,0,
00000075508,000014562,AB12BD0B73622B584BA92C65994C9E5F,cycle,0,0,0,0,0,0,0,0,
00000077331,000015634,A90E9EE2077FB2874788842ACA1F350C,cycle,0,0,0,0,0,0,0,0,
00000080135,000014562,85407F4FBC6BB8634486DEF1801F745F,cycle,0,0,0,0,0,0,0,0,
00000090698,000004751,9B1D0E9CB4EF09A34A746EA4786CAE5B,subrent,0,0,0,0,0,0,0,0,
00000090792,000035602,8F26B21519F4938445B080E29FE107FE,subrent,0,0,0,0,0,0,0,0,
00000090804,000007743,AA29F801CE1D4E3A4D955B173EE9845E,subrent,0,0,0,0,0,0,0,0,
00000090832,000029541,A52C50585EDD590E448DE37AD298F604,subrent,0,0,0,0,0,0,0,0,
00000090846,000028874,BEA01DE65752B28741888FADA715DF7B,subrent,0,0,0,0,0,0,0,0,
00000090897,000004187,AD498B13157C8F0F42E39F39516B40F9,subrent,0,0,0,0,0,0,0,0,
00000090909,000009723,BA2015948B52AE3C4489436136073EA9,subrent,0,0,0,0,0,0,0,0,
00000090915,000004622,834724706854984E4A8D24BFC9CA5E8A,subrent,0,0,0,0,0,0,0,0,
00000090916,000037265,82E461B69BBB07A542BF9537848DFBEA,subrent,0,0,0,0,0,0,0,0,
00000090924,000012535,8CCC81FDC6DA358C46A54B8722BD6A06,subrent,0,0,0,0,0,0,0,0,
00000090943,000029830,A2DFF8959FFE4BFB49273A05A5A2E3AD,subrent,0,0,0,0,0,0,0,0,
00000090945,000037269,B50D15C040469EA440FE8F226FD7E414,subrent,0,0,0,0,0,0,0,0,
00000090946,000036847,BBDCBD70C8EDB63C41757D2F0CF62A43,subrent,0,0,0,0,0,0,0,0,
00000090954,000008816,93BDD7F3152A3D8D45F2B082F6D45819,subrent,0,0,16,16,16,16,0,0,2021-10-18 09:00:00
00000090965,000019216,890479BE71DB0C5F421A80FF515F0A97,subrent,0,0,15,15,15,15,0,0,2021-10-31 10:33:18
00000090966,000048120,A90B5D12AD7EC43E4D602B78E309FEC0,subrent,0,0,15,15,15,15,0,0,2021-10-29 12:06:28
00000090985,000023964,A6696254390DFCEF4D914D91623C56CF,subrent,0,0,8,8,8,8,0,0,2021-10-16 10:37:31
