source,length_bucket,clients,clients_with_phone_match_in_other_source
csv,00_unknown,0,0
sql,00_unknown,0,0
csv,01_up_to_2_weeks,21,20
sql,01_up_to_2_weeks,23,20
csv,02_1_month,88,83
sql,02_1_month,87,84
csv,03_2_months,9,8
sql,03_2_months,9,8
csv,04_3_months,25,25
sql,04_3_months,29,26
csv,05_4_5_months,15,15
sql,05_4_5_months,21,19
csv,06_6_months,17,17
sql,06_6_months,55,38
csv,07_9_months,100,93
sql,07_9_months,129,111
csv,08_12_months,3611,3343
sql,08_12_months,3926,3614
csv,09_13_15_months,3133,2893
sql,09_13_15_months,3083,2895
csv,10_16_18_months,936,880
sql,10_16_18_months,751,690
csv,11_19_24_months,574,540
sql,11_19_24_months,690,625
csv,12_24_plus_months,356,327
sql,12_24_plus_months,120,106
