metric,value
snapshot_date,2025-11-30
csv_active_rows,10032
csv_active_unique_clients,9554
csv_active_unique_phones,9522
sql_active_unique_clients,9575
sql_active_unique_phones,10441
sql_active_duration_30_plus_clients,9541
sql_active_in_target_segment_clients,5545
sql_active_in_chk_kk_segment_clients,8493
csv_clients_with_sql_phone_match,8944
sql_clients_with_csv_phone_match,8937
csv_clients_with_sql_phone_and_name_match,8877
sql_clients_with_csv_phone_and_name_match,8877
sql_minus_csv_unique_clients,21
