source,length_bucket,product_name,clients
csv,01_up_to_2_weeks,Абонемент Неделя Фитнес 1 рубль,14
csv,01_up_to_2_weeks,Абонемент 2 недели Фитнес,8
csv,01_up_to_2_weeks,Абонемент Неделя Фитнес,2
csv,01_up_to_2_weeks,Абонемент УЛЬТРА 12 месяцев,2
csv,01_up_to_2_weeks,Абонемент УЛЬТРА 3 месяца,1
csv,02_1_month,Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,117
csv,02_1_month,"Абонемент УЛЬТРА 1 МЕСЯЦ ХОЛОДНЫЕ 990,00",88
csv,02_1_month,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),2
csv,02_1_month,Абонемент МУЛЬТИКАРТА 12 месяцев,1
csv,03_2_months,"Абонемент УЛЬТРА 1 МЕСЯЦ ХОЛОДНЫЕ 990,00",4
csv,03_2_months,Абонемент УЛЬТРА 12 месяцев,1
csv,03_2_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),1
csv,03_2_months,Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,1
csv,04_3_months,Абонемент УЛЬТРА 3 месяца,38
csv,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,2
csv,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),1
csv,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,1
csv,05_4_5_months,Абонемент УЛЬТРА 3 месяца,2
csv,05_4_5_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),1
csv,05_4_5_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),1
csv,05_4_5_months,Абонемент УЛЬТРА 12+2 месяца в подарок,1
csv,06_6_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),2
csv,06_6_months,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,1
csv,06_6_months,"Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок) Ровио,3",1
csv,06_6_months,Абонемент МУЛЬТИКАРТА 12 месяцев,1
csv,06_6_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),1
csv,07_9_months,Студенческий дневной абонемент 9 месяцев (посещение клуба до 17:00),43
csv,07_9_months,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок),23
csv,07_9_months,Мультикарта на 9 месяцев,11
csv,07_9_months,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок) Ровио,7
csv,07_9_months,Мультикарта на 9 месяцев + 3 месяца заморозки в подарок,4
csv,07_9_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),2
csv,07_9_months,Абонемент УЛЬТРА 9 месяцев,2
csv,07_9_months,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),1
csv,07_9_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,1
csv,07_9_months,Студенческий дневной абонемент 9 месяцев,1
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,846
csv,08_12_months,Абонемент УЛЬТРА 12 месяцев,559
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),497
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев,470
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,443
csv,08_12_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),423
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,249
csv,08_12_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),137
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,109
csv,08_12_months,УЛЬТРА 9 месяцев + 3 месяца в подарок,105
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),104
csv,08_12_months,УЛЬТРА 12 месяцев + 2 месяца заморозки в подарок,95
csv,08_12_months,МУЛЬТИКАРТА 9 месяцев + 3 месяца в подарок,87
csv,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),87
csv,08_12_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,75
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев,812
csv,09_13_15_months,Абонемент УЛЬТРА 12 месяцев,431
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),397
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,210
csv,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,199
