rank,product_ref,product_name,product_class,unique_clients,sale_rows,share_pct
1,,<empty product_name>,other_sale,7112,17251,21.4346
2,AA9EA4BF01266AD311E8ED722295C17A,Абонемент НЕДЕЛЯ САЙТ,trial_or_guest,2152,2222,6.4858
3,AAB0A4BF01266AD311E96FD3649B593A,Абонемент НЕДЕЛЯ ДРУГ,trial_or_guest,1872,1935,5.6420
4,AC1CA4BF01266AD411EC30B409A85EAF,Абонемент НЕДЕЛЯ ФИТНЕСА БЕСПЛАТНО,trial_or_guest,214,217,0.6450
5,AD04A4BF01266AD411ED91A42C9B5713,Абонемент Неделя Фитнес,trial_or_guest,203,213,0.6118
6,AD04A4BF01266AD411ED91A1077A7A15,Абонемент Неделя сайт 2023,trial_or_guest,179,179,0.5395
7,AC72A4BF01266AD411ECD10DF4B5B1AE,Абонемент 10 ДНЕЙ,trial_or_guest,74,75,0.2230
8,B129000C29D830FD11F0A075A51AC71E,Абонемент Неделя Фитнес 1 рубль,trial_or_guest,41,41,0.1236
9,AB51A4BF01266AD411EB9855EE6BC104,Абонемент НЕДЕЛЯ КАРЕЛЬСКИЙ,trial_or_guest,37,38,0.1115
10,AB2EA4BF01266AD411EB7CBC3FB4B8AA,Абонемент НЕДЕЛЯ ХОЛОДНЫЕ,trial_or_guest,36,37,0.1085
11,AFFF000C29D830FD11EFC51DA148348F,Абонемент 2 недели Фитнес,trial_or_guest,29,29,0.0874
12,AD19A4BF01266AD411EDA1F924D34F23,Абонемент Неделя марафон,trial_or_guest,28,28,0.0844
13,ABFFA4BF01266AD411EC1AB45199F07D,СУБАРЕНДА безлимит,other_sale,24,459,0.0723
14,ABFFA4BF01266AD411EC1AB433F8DB37,СУБАРЕНДА 15 посещений,other_sale,18,194,0.0542
15,AC5FA4BF01266AD411ECA429A81300FB,СУБАРЕНДА 12 посещений,other_sale,13,198,0.0392
16,ABFFA4BF01266AD411EC1AB2987E8962,СУБАРЕНДА 8 посещений,other_sale,11,40,0.0332
17,AF0A000C29D830FD11EF0C3E7AF7CA20,Абонемент Неделя Фитнес (НОВЫЕ КЛИЕНТЫ),trial_or_guest,10,10,0.0301
18,AA9EA4BF01266AD311E8D82589232D73,Пакет 8,other_sale,6,6,0.0181
19,AFE1000C29D830FD11EFAD7D54FAD4B6,Танцевальная тренировка (не использовать!!!),other_sale,4,6,0.0121
20,AC3EA4BF01266AD411EC56A05231DDA0,СУБАРЕНДА 10 посещений,other_sale,3,4,0.0090
21,ACD9A4BF01266AD411ED6F1D348DCEFB,СУБАРЕНДА 20 посещений,other_sale,2,3,0.0060
22,B067000C29D830FD11F01391870722D6,Абонемент Неделя Фитнес 190 рублей,trial_or_guest,2,2,0.0060
23,AE97000C29D830FD11EEB5E224D01D09,Наталья триггер2,other_sale,2,2,0.0060
24,B091000C29D830FD11F0348FE0F505B9,СУБАРЕНДА безлимит Савостьянова Ксения,other_sale,1,5,0.0030
25,AAD4A4BF01266AD311EA6372C1AB9148,144 полотенца для ПитерСтрой,trial_or_guest,1,2,0.0030
26,B152000C29D830FD11F0BFCCB5A5C951,Медленный класс (10 посещений) двойное предложение,other_sale,1,2,0.0030
27,B091000C29D830FD11F0348F5A42CAAE,СУБАРЕНДА безлимит неделя Савостьянова Ксения,trial_or_guest,1,2,0.0030
28,AE95000C29D830FD11EEB44107BAD405,Наталья триггер,other_sale,1,1,0.0030
