"schema_name","table_name","approx_rows","column_id","column_name","sql_type","max_length","precision","scale","is_nullable"
"dbo","_Acc22",27,1,"_IDRRef","binary",16,0,0,0
"dbo","_Acc22",27,2,"_Version","timestamp",8,0,0,0
"dbo","_Acc22",27,3,"_Marked","binary",1,0,0,0
"dbo","_Acc22",27,4,"_PredefinedID","binary",16,0,0,0
"dbo","_Acc22",27,5,"_ParentIDRRef","binary",16,0,0,0
"dbo","_Acc22",27,6,"_Code","nvarchar",70,0,0,0
"dbo","_Acc22",27,7,"_Description","nvarchar",100,0,0,0
"dbo","_Acc22",27,8,"_OrderField","nvarchar",70,0,0,0
"dbo","_Acc22",27,9,"_Kind","numeric",5,1,0,0
"dbo","_Acc22",27,10,"_OffBalance","binary",1,0,0,0
"dbo","_Acc22",27,11,"_Fld346","numeric",5,7,0,0
"dbo","_Acc22",27,12,"_Fld4707","binary",1,0,0,0
"dbo","_Acc22_ExtDim4708",36,1,"_Acc22_IDRRef","binary",16,0,0,0
"dbo","_Acc22_ExtDim4708",36,2,"_Fld346","numeric",5,7,0,0
"dbo","_Acc22_ExtDim4708",36,3,"_KeyField","binary",4,0,0,0
"dbo","_Acc22_ExtDim4708",36,4,"_LineNo","numeric",5,5,0,0
"dbo","_Acc22_ExtDim4708",36,5,"_DimKindRRef","binary",16,0,0,0
"dbo","_Acc22_ExtDim4708",36,6,"_DimIsMetadata","binary",1,0,0,0
"dbo","_Acc22_ExtDim4708",36,7,"_TurnoverOnly","binary",1,0,0,0
"dbo","_Acc22_ExtDim4708",36,8,"_Fld4709","binary",1,0,0,0
"dbo","_AccChngR8755",0,1,"_NodeTRef","binary",4,0,0,0
"dbo","_AccChngR8755",0,2,"_NodeRRef","binary",16,0,0,0
"dbo","_AccChngR8755",0,3,"_MessageNo","numeric",9,10,0,1
"dbo","_AccChngR8755",0,4,"_IDRRef","binary",16,0,0,0
"dbo","_AccChngR8755",0,5,"_Fld346","numeric",5,7,0,0
"dbo","_AccOpt",0,1,"_MDID","binary",16,0,0,0
"dbo","_AccOpt",0,2,"_ExtID","binary",16,0,0,0
"dbo","_AccOpt",0,3,"_PDUpdMode","numeric",5,1,0,0
"dbo","_AccRg4711",1656572,1,"_Period","datetime2",6,19,0,0
"dbo","_AccRg4711",1656572,2,"_RecorderTRef","binary",4,0,0,0
"dbo","_AccRg4711",1656572,3,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccRg4711",1656572,4,"_LineNo","numeric",5,9,0,0
"dbo","_AccRg4711",1656572,5,"_Active","binary",1,0,0,0
"dbo","_AccRg4711",1656572,6,"_AccountDtRRef","binary",16,0,0,0
"dbo","_AccRg4711",1656572,7,"_AccountCtRRef","binary",16,0,0,0
"dbo","_AccRg4711",1656572,8,"_Fld4712_TYPE","binary",1,0,0,0
"dbo","_AccRg4711",1656572,9,"_Fld4712_RTRef","binary",4,0,0,0
"dbo","_AccRg4711",1656572,10,"_Fld4712_RRRef","binary",16,0,0,0
"dbo","_AccRg4711",1656572,11,"_Fld4713","numeric",9,11,3,0
"dbo","_AccRg4711",1656572,12,"_Fld4714","numeric",9,12,2,0
"dbo","_AccRg4711",1656572,13,"_Fld4715","nvarchar",300,0,0,0
"dbo","_AccRg4711",1656572,14,"_Fld346","numeric",5,7,0,0
"dbo","_AccRg4711",1656572,15,"_ValueDt1_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,16,"_ValueDt1_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,17,"_ValueDt1_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,18,"_KindDt1RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,19,"_ValueCt1_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,20,"_ValueCt1_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,21,"_ValueCt1_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,22,"_KindCt1RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,23,"_ValueDt2_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,24,"_ValueDt2_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,25,"_ValueDt2_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,26,"_KindDt2RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,27,"_ValueCt2_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,28,"_ValueCt2_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,29,"_ValueCt2_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,30,"_KindCt2RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,31,"_ValueDt3_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,32,"_ValueDt3_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,33,"_ValueDt3_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,34,"_KindDt3RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,35,"_ValueCt3_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,36,"_ValueCt3_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,37,"_ValueCt3_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,38,"_KindCt3RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,39,"_ValueDt4_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,40,"_ValueDt4_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,41,"_ValueDt4_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,42,"_KindDt4RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,43,"_ValueCt4_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,44,"_ValueCt4_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,45,"_ValueCt4_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,46,"_KindCt4RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,47,"_ValueDt5_TYPE","binary",1,0,0,1
