"schema_name","table_name","approx_rows","column_count"
"dbo","_InfoRg2567",19791206,9
"dbo","_AccRgED4729",8363806,10
"dbo","_AccumRg3336",7236853,24
"dbo","_AccumRgT3353",6490567,18
"dbo","_Document150",3012966,42
"dbo","_AccRgAT14723",2531090,17
"dbo","_AccRgAT24724",2319670,20
"dbo","_Seq3373",2238889,5
"dbo","_AccRg4711",1656572,56
"dbo","_DocumentJournal1621",1177049,16
"dbo","_AccumRgT9354",1080868,7
"dbo","_Task5075",954473,36
"dbo","_AccRgAT54727",820520,30
"dbo","_AccumRg3305",767056,19
"dbo","_Document137_VT724",694117,40
"dbo","_InfoRg7388",613338,5
"dbo","_AccumRg3097",611195,22
"dbo","_AccumRgTn3258",584297,29
"dbo","_Document154_VT1162",550133,12
"dbo","_AccumRg3233",545386,32
"dbo","_Document154_VT1137",527391,40
"dbo","_Seq3370",498181,5
"dbo","_DocumentJournal1627",445381,11
"dbo","_Document154",426824,45
"dbo","_DocumentJournal1607",419246,26
"dbo","_AccumRg3086",418955,14
"dbo","_InfoRg2878",418089,7
"dbo","_AccRgAT44726",408034,27
"dbo","_Document152_VT1083",407725,16
"dbo","_Document152",405270,51
"dbo","_AccumRgTn3198",391118,9
"dbo","_AccumRgTn10168",389237,16
"dbo","_AccumRg10156",389127,19
"dbo","_AccumRg3191",388874,12
"dbo","_InfoRg2586",373636,7
"dbo","_AccumRgT3109",337817,18
"dbo","_Reference5060_VT8224",322759,7
"dbo","_InfoRg7361",308840,25
"dbo","_InfoRg10312",300159,9
"dbo","_AccumRgTn3176",295238,24
"dbo","_InfoRg2960",288824,8
"dbo","_AccumRg3158",271849,27
"dbo","_InfoRg2925",217781,9
"dbo","_InfoRg2972",215303,5
"dbo","_Document163_VT1497",211999,10
"dbo","_AccumRgT3318",196334,15
"dbo","_Document137",190204,62
"dbo","_AccumRgTn3142",181771,18
"dbo","_Document153_VT1098",179355,14
"dbo","_AccumRg3130",178739,20
"dbo","_InfoRg5233",153283,31
"dbo","_InfoRg5884",150643,4
"dbo","_Reference5060",150640,35
"dbo","_AccumRg9350",136383,11
"dbo","_SystemSettings",126160,11
"dbo","_Document163",116523,86
"dbo","_InfoRg3060",116523,28
"dbo","_InfoRgSF2966",114822,6
"dbo","_InfoRgSL2965",114822,6
"dbo","_InfoRgSF10319",114806,7
"dbo","_InfoRgSL10318",114806,7
"dbo","_InfoRg5843",112226,25
"dbo","_Reference64_VT3848",109120,19
"dbo","_Reference59",105524,23
"dbo","_SeqB3375",103796,6
"dbo","_Document135_VT664",102037,5
"dbo","_InfoRg3073",101987,7
"dbo","_AccumRgT3325",96690,10
"dbo","_InfoRg6767",83855,5
"dbo","_InfoRg7156",83799,24
"dbo","_Reference64_VT3862",76492,8
"dbo","_Document153_VT1107",74659,13
"dbo","_Document130_VT506",74278,9
"dbo","_Reference64",72586,69
"dbo","_InfoRg5255",72427,23
"dbo","_UsersWorkHistory",70202,10
"dbo","_Document153",63476,15
"dbo","_Document138",55787,25
"dbo","_Document163_VT1503",43405,7
"dbo","_Reference115",42490,44
"dbo","_InfoRg7268",42199,7
"dbo","_Reference65",41309,33
"dbo","_InfoRg6941",40777,6
"dbo","_Reference46",37676,33
"dbo","_InfoRg3018",32781,13
"dbo","_InfoRg5199",28460,31
"dbo","_Document9230",27035,49
"dbo","_AccumRgTn3217",26882,22
"dbo","_AccumRg3206",25914,25
"dbo","_InfoRg2985",25890,6
"dbo","_Document140",25674,14
"dbo","_InfoRg2188",23761,16
"dbo","_InfoRg5867",22400,27
"dbo","_Reference5056",22168,51
"dbo","_Reference31",21934,29
"dbo","_Reference5056_VT5293",21194,19
"dbo","_InfoRg2436",20127,6
"dbo","_Document130_VT511",19532,25
"dbo","_Document143",17694,29
"dbo","_InfoRg2798",17520,9
"dbo","_BPr333",15655,27
"dbo","Config",15149,7
"dbo","_InfoRg8523",14570,23
"dbo","_Document158_VT1305",13975,14
"dbo","_Document158",13974,49
"dbo","_InfoRg9474",13343,13
"dbo","_Document151_VT1021",11380,15
"dbo","_Document135",10848,11
"dbo","_Task335",10723,62
"dbo","_InfoRg5226",10601,11
"dbo","_InfoRg9125",10251,6
"dbo","_InfoRg2332",8975,33
"dbo","_Document139_VT789",8150,17
"dbo","_InfoRg2123",7216,9
"dbo","_Reference70_VT3971",6731,5
"dbo","_InfoRg2722",6568,5
"dbo","_Reference70",5740,9
"dbo","_InfoRg2203",5591,6
"dbo","_InfoRg3001",5075,10
"dbo","_Document145_VT911",4624,13
"dbo","_Document148_VT967",4540,9
"dbo","_Document129",4497,30
"dbo","_CommonSettings",4117,11
"dbo","_Document9540_VT9556",4018,7
"dbo","_InfoRg2928",3953,5
"dbo","_InfoRg2457",3891,11
"dbo","_AccumRgT3095",3736,9
"dbo","_InfoRg7278",3675,31
"dbo","_InfoRg2944",3650,16
"dbo","_Document126",3633,23
"dbo","_Document126_VT347",3633,13
"dbo","_InfoRg2955",3597,5
"dbo","_AccumRg3276",3239,9
"dbo","_Document160_VT1344",3207,13
"dbo","_Document9540",3118,22
"dbo","_InfoRg2804",2806,8
"dbo","_InfoRg4928",2795,11
"dbo","_Document151",2727,23
"dbo","_AccumRg3319",2715,14
"dbo","_Reference5056_VT9430",2563,8
"dbo","_Document135_VT667",2542,6
"dbo","_InfoRg2376",2191,6
"dbo","_InfoRg2630",2014,13
"dbo","_Document131_VT553",1931,39
"dbo","_Document145",1926,20
"dbo","_Reference61",1911,20
"dbo","_Document131",1855,32
"dbo","_AccRgAT04716",1758,14
"dbo","_InfoRg2209",1746,9
"dbo","_Reference72",1664,173
"dbo","_Document130",1514,13
"dbo","_Reference52",1513,17
"dbo","_AccRgCT4728",1289,9
"dbo","_Document148",1113,21
"dbo","_InfoRg2083",1019,18
"dbo","_Reference99_VT4459",886,5
"dbo","_Reference80_VT4250",854,6
"dbo","_InfoRg9345",842,4
"dbo","_InfoRg6876",791,10
"dbo","_InfoRg6947",725,10
"dbo","_InfoRg5211",698,25
"dbo","_AccumRgT7431",650,9
"dbo","_InfoRg2729",641,8
"dbo","_Reference95_VT4375",630,8
"dbo","_Reference124",495,9
"dbo","_Reference57_VT3738",495,12
"dbo","_Reference63",468,13
"dbo","_Reference99_VT4442",459,6
"dbo","_Reference29",407,35
"dbo","_Reference78",381,9
"dbo","_Reference67",373,33
"dbo","_BPr325",368,23
"dbo","_Reference99",364,49
"dbo","_InfoRg2812",361,32
"dbo","_InfoRg2991",317,3
"dbo","_InfoRg2176",298,9
"dbo","ConfigCAS",290,7
"dbo","_Reference72_VT4121",267,10
"dbo","_Document160",259,18
"dbo","_InfoRg7126",258,4
"dbo","_Reference104",251,14
"dbo","_Reference6124",245,17
"dbo","_Reference6124_VT7618",225,6
"dbo","_Document159_VT1330",220,8
"dbo","_Reference60_VT3779",219,7
"dbo","_Document159",208,18
"dbo","_Document130_VT488",207,15
"dbo","_InfoRg2838",203,4
"dbo","_Document136",198,12
"dbo","_InfoRg6888",182,17
